date,ep
2022-01-01,1.546278626
2022-01-02,1.483870968
2022-01-03,1.395003376
2022-01-04,1.370047011
2022-01-05,1.345935728
2022-01-06,1.338585942
2022-01-07,1.367308099
2022-01-08,1.4442277
2022-01-09,1.454854369
2022-01-10,1.32567714
2022-01-11,1.328093511
2022-01-12,1.335561746
2022-01-13,1.357913669
2022-01-14,1.392839133
2022-01-15,1.44356067
2022-01-16,1.446409239
2022-01-17,1.377929688
2022-01-18,1.302907619
2022-01-19,1.35575907
2022-01-20,1.317680541
2022-01-21,1.322743468
2022-01-22,1.430812676
2022-01-23,1.424555601
2022-01-24,1.322758037
2022-01-25,1.316661034
2022-01-26,1.32777603
2022-01-27,1.320138688
2022-01-28,1.340682573
2022-01-29,1.30187144
2022-01-30,1.394071146
2022-01-31,1.325475285
2022-02-01,1.344838815
2022-02-02,1.29505632
2022-02-03,1.331232092
2022-02-04,1.339347079
2022-02-05,1.387668497
2022-02-06,1.428467946
2022-02-07,1.3300037
2022-02-08,1.311988304
2022-02-09,1.285672429
2022-02-10,1.32345679
2022-02-11,1.323408624
2022-02-12,1.42124945
2022-02-13,1.354160126
2022-02-14,1.346515487
2022-02-15,1.303958394
2022-02-16,1.316676025
2022-02-17,1.319634703
2022-02-18,1.3476874
2022-02-19,1.403128153
2022-02-20,1.422871393
2022-02-21,1.423332033
2022-02-22,1.342252645
2022-02-23,1.345938748
2022-02-24,1.31032666
2022-02-25,1.344645551
2022-02-26,1.385871965
2022-02-27,1.403412377
2022-02-28,1.301459174
2022-02-29,0
2022-02-30,0